planetName,filmTitle
Tatooine,Attack of the Clones
Tatooine,A New Hope
Tatooine,Return of the Jedi
Tatooine,The Phantom Menace
Tatooine,Revenge of the Sith
Alderaan,Revenge of the Sith
Alderaan,A New Hope
Yavin IV,A New Hope
Hoth,The Empire Strikes Back
Dagobah,The Empire Strikes Back
Dagobah,Revenge of the Sith
Dagobah,Return of the Jedi
Bespin,The Empire Strikes Back
Endor,Return of the Jedi
Naboo,Revenge of the Sith
Naboo,Return of the Jedi
Naboo,The Phantom Menace
Naboo,Attack of the Clones
Coruscant,Attack of the Clones
Coruscant,The Phantom Menace
Coruscant,Return of the Jedi
Coruscant,Revenge of the Sith
Kamino,Attack of the Clones
Geonosis,Attack of the Clones
Utapau,Revenge of the Sith
Mustafar,Revenge of the Sith
Kashyyyk,Revenge of the Sith
Polis Massa,Revenge of the Sith
Mygeeto,Revenge of the Sith
Felucia,Revenge of the Sith
Cato Neimoidia,Revenge of the Sith
Saleucami,Revenge of the Sith
Ord Mantell,The Empire Strikes Back